"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Aug 2019","29","ST","33.691","33.691"
"MG","01 Aug 2019","30","CCGT/COGEN/TRIGEN","3359.338","3167.268"
"MG","01 Aug 2019","30","GT","-0.036","-0.036"
"MG","01 Aug 2019","30","IGS","27.858","11.721"
"MG","01 Aug 2019","30","ST","33.877","33.877"
"MG","01 Aug 2019","31","CCGT/COGEN/TRIGEN","3351.910","3161.830"
"MG","01 Aug 2019","31","GT","-0.034","-0.034"
"MG","01 Aug 2019","31","IGS","25.863","10.773"
"MG","01 Aug 2019","31","ST","33.053","33.053"
"MG","01 Aug 2019","32","CCGT/COGEN/TRIGEN","3359.185","3169.328"
"MG","01 Aug 2019","32","GT","-0.035","-0.035"
"MG","01 Aug 2019","32","IGS","23.917","9.629"
"MG","01 Aug 2019","32","ST","33.477","33.477"
"MG","01 Aug 2019","33","CCGT/COGEN/TRIGEN","3364.726","3174.577"
"MG","01 Aug 2019","33","GT","-0.035","-0.035"
"MG","01 Aug 2019","33","IGS","20.463","7.800"
"MG","01 Aug 2019","33","ST","34.068","34.068"
"MG","01 Aug 2019","34","CCGT/COGEN/TRIGEN","3357.378","3167.587"
"MG","01 Aug 2019","34","GT","-0.057","-0.057"
"MG","01 Aug 2019","34","IGS","15.752","5.795"
"MG","01 Aug 2019","34","ST","33.986","33.986"
"MG","01 Aug 2019","35","CCGT/COGEN/TRIGEN","3332.947","3142.468"
"MG","01 Aug 2019","35","GT","-0.052","-0.052"
"MG","01 Aug 2019","35","IGS","12.448","4.026"
"MG","01 Aug 2019","35","ST","32.904","32.904"
"MG","01 Aug 2019","36","CCGT/COGEN/TRIGEN","3286.639","3095.214"
"MG","01 Aug 2019","36","GT","-0.051","-0.051"
"MG","01 Aug 2019","36","IGS","7.637","2.165"
"MG","01 Aug 2019","36","ST","33.002","33.002"
"MG","01 Aug 2019","37","CCGT/COGEN/TRIGEN","3224.547","3033.255"
"MG","01 Aug 2019","37","GT","-0.036","-0.036"
"MG","01 Aug 2019","37","IGS","3.985","0.667"
"MG","01 Aug 2019","37","ST","33.884","33.884"
"MG","01 Aug 2019","38","CCGT/COGEN/TRIGEN","3209.680","3018.636"
"MG","01 Aug 2019","38","GT","-0.033","-0.033"
"MG","01 Aug 2019","38","IGS","1.380","0.095"
"MG","01 Aug 2019","38","ST","34.051","34.051"
"MG","01 Aug 2019","39","CCGT/COGEN/TRIGEN","3214.266","3023.817"
"MG","01 Aug 2019","39","GT","-0.034","-0.034"
"MG","01 Aug 2019","39","IGS","0.053","-0.002"
"MG","01 Aug 2019","39","ST","34.317","34.317"
"MG","01 Aug 2019","40","CCGT/COGEN/TRIGEN","3220.565","3029.954"
"MG","01 Aug 2019","40","GT","-0.035","-0.035"
"MG","01 Aug 2019","40","IGS","-0.016","-0.016"
"MG","01 Aug 2019","40","ST","33.835","33.835"
"MG","01 Aug 2019","41","CCGT/COGEN/TRIGEN","3208.342","3017.865"
"MG","01 Aug 2019","41","GT","-0.033","-0.033"
"MG","01 Aug 2019","41","IGS","-0.004","-0.004"
"MG","01 Aug 2019","41","ST","36.093","36.093"
"MG","01 Aug 2019","42","CCGT/COGEN/TRIGEN","3194.596","3004.503"
"MG","01 Aug 2019","42","GT","-0.034","-0.034"
"MG","01 Aug 2019","42","IGS","-0.018","-0.018"
"MG","01 Aug 2019","42","ST","36.606","36.606"
"MG","01 Aug 2019","43","CCGT/COGEN/TRIGEN","3173.523","2982.825"
"MG","01 Aug 2019","43","GT","-0.034","-0.034"
"MG","01 Aug 2019","43","IGS","-0.004","-0.004"
"MG","01 Aug 2019","43","ST","36.345","36.345"
"MG","01 Aug 2019","44","CCGT/COGEN/TRIGEN","3138.768","2947.809"
"MG","01 Aug 2019","44","GT","-0.034","-0.034"
"MG","01 Aug 2019","44","IGS","-0.004","-0.004"
"MG","01 Aug 2019","44","ST","36.725","36.725"
"MG","01 Aug 2019","45","CCGT/COGEN/TRIGEN","3073.028","2882.584"
"MG","01 Aug 2019","45","GT","-0.034","-0.034"
"MG","01 Aug 2019","45","IGS","-0.004","-0.004"
"MG","01 Aug 2019","45","ST","36.416","36.416"
"MG","01 Aug 2019","46","CCGT/COGEN/TRIGEN","3016.335","2825.618"
"MG","01 Aug 2019","46","GT","-0.032","-0.032"
"MG","01 Aug 2019","46","IGS","-0.004","-0.004"
"MG","01 Aug 2019","46","ST","37.038","37.038"
"MG","01 Aug 2019","47","CCGT/COGEN/TRIGEN","2952.518","2762.552"
