"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","02 Feb 2019","12","IGS","-0.002","-0.002"
"MG","02 Feb 2019","12","ST","53.457","52.114"
"MG","02 Feb 2019","13","CCGT/COGEN/TRIGEN","2460.334","2274.746"
"MG","02 Feb 2019","13","GT","-0.034","-0.034"
"MG","02 Feb 2019","13","IGS","-0.002","-0.002"
"MG","02 Feb 2019","13","ST","52.359","51.011"
"MG","02 Feb 2019","14","CCGT/COGEN/TRIGEN","2503.226","2316.708"
"MG","02 Feb 2019","14","GT","-0.032","-0.032"
"MG","02 Feb 2019","14","IGS","-0.002","-0.002"
"MG","02 Feb 2019","14","ST","52.848","51.506"
"MG","02 Feb 2019","15","CCGT/COGEN/TRIGEN","2540.763","2354.414"
"MG","02 Feb 2019","15","GT","-0.030","-0.030"
"MG","02 Feb 2019","15","IGS","0.146","-0.002"
"MG","02 Feb 2019","15","ST","50.992","49.645"
"MG","02 Feb 2019","16","CCGT/COGEN/TRIGEN","2592.311","2406.185"
"MG","02 Feb 2019","16","GT","-0.029","-0.029"
"MG","02 Feb 2019","16","IGS","0.916","0.024"
"MG","02 Feb 2019","16","ST","51.897","50.549"
"MG","02 Feb 2019","17","CCGT/COGEN/TRIGEN","2690.001","2504.120"
"MG","02 Feb 2019","17","GT","-0.028","-0.028"
"MG","02 Feb 2019","17","IGS","2.369","0.365"
"MG","02 Feb 2019","17","ST","52.048","50.698"
"MG","02 Feb 2019","18","CCGT/COGEN/TRIGEN","2763.269","2577.211"
"MG","02 Feb 2019","18","GT","-0.029","-0.029"
"MG","02 Feb 2019","18","IGS","4.832","1.348"
"MG","02 Feb 2019","18","ST","52.405","51.043"
"MG","02 Feb 2019","19","CCGT/COGEN/TRIGEN","2820.733","2634.519"
"MG","02 Feb 2019","19","GT","-0.029","-0.029"
"MG","02 Feb 2019","19","IGS","7.530","2.685"
"MG","02 Feb 2019","19","ST","51.785","50.428"
"MG","02 Feb 2019","20","CCGT/COGEN/TRIGEN","2846.421","2659.419"
"MG","02 Feb 2019","20","GT","-0.028","-0.028"
"MG","02 Feb 2019","20","IGS","10.931","4.805"
"MG","02 Feb 2019","20","ST","51.491","50.130"
"MG","02 Feb 2019","21","CCGT/COGEN/TRIGEN","2890.621","2704.111"
"MG","02 Feb 2019","21","GT","-0.029","-0.029"
"MG","02 Feb 2019","21","IGS","13.411","6.615"
"MG","02 Feb 2019","21","ST","51.178","49.820"
"MG","02 Feb 2019","22","CCGT/COGEN/TRIGEN","2907.703","2720.825"
"MG","02 Feb 2019","22","GT","-0.029","-0.029"
"MG","02 Feb 2019","22","IGS","14.823","7.396"
"MG","02 Feb 2019","22","ST","50.567","49.207"
"MG","02 Feb 2019","23","CCGT/COGEN/TRIGEN","2911.786","2724.380"
"MG","02 Feb 2019","23","GT","-0.031","-0.031"
"MG","02 Feb 2019","23","IGS","15.684","7.876"
"MG","02 Feb 2019","23","ST","49.778","48.413"
"MG","02 Feb 2019","24","CCGT/COGEN/TRIGEN","2901.497","2712.473"
"MG","02 Feb 2019","24","GT","-0.031","-0.031"
"MG","02 Feb 2019","24","IGS","14.614","7.008"
