"INFORMATION TYPE","DATE","PERIOD","FACILITY TYPE","GROSS INJECTION (MWh)","NET INJECTION (MWh)"
"MG","01 Jan 2019","34","CCGT/COGEN/TRIGEN","2712.978","2526.728"
"MG","01 Jan 2019","34","GT","-0.050","-0.050"
"MG","01 Jan 2019","34","IGS","8.591","4.339"
"MG","01 Jan 2019","34","ST","44.527","43.095"
"MG","01 Jan 2019","35","CCGT/COGEN/TRIGEN","2723.722","2537.641"
"MG","01 Jan 2019","35","GT","-0.040","-0.040"
"MG","01 Jan 2019","35","IGS","5.826","2.717"
"MG","01 Jan 2019","35","ST","45.155","43.715"
"MG","01 Jan 2019","36","CCGT/COGEN/TRIGEN","2729.661","2543.226"
"MG","01 Jan 2019","36","GT","-0.034","-0.034"
"MG","01 Jan 2019","36","IGS","3.062","0.851"
"MG","01 Jan 2019","36","ST","45.379","43.939"
"MG","01 Jan 2019","37","CCGT/COGEN/TRIGEN","2736.277","2548.756"
"MG","01 Jan 2019","37","GT","-0.032","-0.032"
"MG","01 Jan 2019","37","IGS","0.902","0.069"
"MG","01 Jan 2019","37","ST","45.118","43.653"
"MG","01 Jan 2019","38","CCGT/COGEN/TRIGEN","2754.807","2565.618"
"MG","01 Jan 2019","38","GT","-0.033","-0.033"
"MG","01 Jan 2019","38","IGS","0.247","-0.001"
"MG","01 Jan 2019","38","ST","46.616","45.151"
"MG","01 Jan 2019","39","CCGT/COGEN/TRIGEN","2790.664","2602.165"
"MG","01 Jan 2019","39","GT","-0.036","-0.036"
"MG","01 Jan 2019","39","IGS","0.000","-0.001"
"MG","01 Jan 2019","39","ST","45.812","44.419"
"MG","01 Jan 2019","40","CCGT/COGEN/TRIGEN","2807.179","2620.404"
"MG","01 Jan 2019","40","GT","-0.036","-0.036"
"MG","01 Jan 2019","40","IGS","-0.001","-0.001"
"MG","01 Jan 2019","40","ST","46.563","45.113"
"MG","01 Jan 2019","41","CCGT/COGEN/TRIGEN","2821.881","2634.952"
"MG","01 Jan 2019","41","GT","-0.036","-0.036"
"MG","01 Jan 2019","41","IGS","-0.001","-0.001"
"MG","01 Jan 2019","41","ST","46.740","45.279"
"MG","01 Jan 2019","42","CCGT/COGEN/TRIGEN","2832.546","2645.895"
"MG","01 Jan 2019","42","GT","-0.036","-0.036"
"MG","01 Jan 2019","42","IGS","-0.001","-0.001"
"MG","01 Jan 2019","42","ST","47.943","46.407"
"MG","01 Jan 2019","43","CCGT/COGEN/TRIGEN","2837.143","2650.508"
"MG","01 Jan 2019","43","GT","-0.048","-0.048"
"MG","01 Jan 2019","43","IGS","-0.001","-0.001"
"MG","01 Jan 2019","43","ST","47.669","46.119"
"MG","01 Jan 2019","44","CCGT/COGEN/TRIGEN","2814.543","2627.958"
"MG","01 Jan 2019","44","GT","-0.058","-0.058"
"MG","01 Jan 2019","44","IGS","-0.002","-0.002"
"MG","01 Jan 2019","44","ST","47.693","46.147"
"MG","01 Jan 2019","45","CCGT/COGEN/TRIGEN","2758.739","2571.867"
"MG","01 Jan 2019","45","GT","-0.056","-0.056"
"MG","01 Jan 2019","45","IGS","-0.001","-0.001"
"MG","01 Jan 2019","45","ST","47.708","46.181"
"MG","01 Jan 2019","46","CCGT/COGEN/TRIGEN","2706.939","2519.939"
"MG","01 Jan 2019","46","GT","-0.052","-0.052"
"MG","01 Jan 2019","46","IGS","-0.001","-0.001"
"MG","01 Jan 2019","46","ST","46.641","45.139"
"MG","01 Jan 2019","47","CCGT/COGEN/TRIGEN","2644.889","2457.984"
"MG","01 Jan 2019","47","GT","-0.035","-0.035"
"MG","01 Jan 2019","47","IGS","-0.001","-0.001"
"MG","01 Jan 2019","47","ST","46.300","44.774"
"MG","01 Jan 2019","48","CCGT/COGEN/TRIGEN","2580.289","2392.947"
"MG","01 Jan 2019","48","GT","-0.035","-0.035"
"MG","01 Jan 2019","48","IGS","-0.001","-0.001"
"MG","01 Jan 2019","48","ST","46.519","45.004"
"MG","02 Jan 2019","1","CCGT/COGEN/TRIGEN","2532.137","2345.007"
"MG","02 Jan 2019","1","GT","-0.033","-0.033"
"MG","02 Jan 2019","1","IGS","-0.001","-0.001"
"MG","02 Jan 2019","1","ST","45.287","43.774"
"MG","02 Jan 2019","2","CCGT/COGEN/TRIGEN","2480.392","2293.551"
"MG","02 Jan 2019","2","GT","-0.034","-0.034"
"MG","02 Jan 2019","2","IGS","-0.001","-0.001"
"MG","02 Jan 2019","2","ST","45.916","44.386"
"MG","02 Jan 2019","3","CCGT/COGEN/TRIGEN","2429.539","2242.615"
"MG","02 Jan 2019","3","GT","-0.035","-0.035"
"MG","02 Jan 2019","3","IGS","-0.001","-0.001"
"MG","02 Jan 2019","3","ST","45.556","44.007"
"MG","02 Jan 2019","4","CCGT/COGEN/TRIGEN","2402.253","2215.552"
"MG","02 Jan 2019","4","GT","-0.034","-0.034"
"MG","02 Jan 2019","4","IGS","-0.002","-0.002"
"MG","02 Jan 2019","4","ST","45.738","44.186"
"MG","02 Jan 2019","5","CCGT/COGEN/TRIGEN","2370.247","2183.359"
"MG","02 Jan 2019","5","GT","-0.033","-0.033"
"MG","02 Jan 2019","5","IGS","-0.001","-0.001"
"MG","02 Jan 2019","5","ST","46.421","44.885"
"MG","02 Jan 2019","6","CCGT/COGEN/TRIGEN","2340.919","2153.841"
"MG","02 Jan 2019","6","GT","-0.034","-0.034"
"MG","02 Jan 2019","6","IGS","-0.001","-0.001"
"MG","02 Jan 2019","6","ST","46.727","45.224"
"MG","02 Jan 2019","7","CCGT/COGEN/TRIGEN","2319.007","2131.956"
"MG","02 Jan 2019","7","GT","-0.034","-0.034"
"MG","02 Jan 2019","7","IGS","-0.001","-0.001"
"MG","02 Jan 2019","7","ST","47.177","45.707"
"MG","02 Jan 2019","8","CCGT/COGEN/TRIGEN","2296.963","2109.714"
"MG","02 Jan 2019","8","GT","-0.034","-0.034"
"MG","02 Jan 2019","8","IGS","-0.001","-0.001"
"MG","02 Jan 2019","8","ST","46.698","45.220"
"MG","02 Jan 2019","9","CCGT/COGEN/TRIGEN","2297.557","2110.490"
"MG","02 Jan 2019","9","GT","-0.034","-0.034"
"MG","02 Jan 2019","9","IGS","-0.001","-0.001"
"MG","02 Jan 2019","9","ST","47.494","46.030"
"MG","02 Jan 2019","10","CCGT/COGEN/TRIGEN","2309.151","2122.162"
"MG","02 Jan 2019","10","GT","-0.033","-0.033"
"MG","02 Jan 2019","10","IGS","-0.001","-0.001"
"MG","02 Jan 2019","10","ST","46.201","44.701"
"MG","02 Jan 2019","11","CCGT/COGEN/TRIGEN","2342.940","2156.268"
"MG","02 Jan 2019","11","GT","-0.034","-0.034"
"MG","02 Jan 2019","11","IGS","-0.002","-0.002"
"MG","02 Jan 2019","11","ST","46.776","45.292"
"MG","02 Jan 2019","12","CCGT/COGEN/TRIGEN","2394.382","2207.335"
"MG","02 Jan 2019","12","GT","-0.034","-0.034"
"MG","02 Jan 2019","12","IGS","-0.001","-0.001"
"MG","02 Jan 2019","12","ST","45.489","44.006"
"MG","02 Jan 2019","13","CCGT/COGEN/TRIGEN","2488.766","2300.752"
"MG","02 Jan 2019","13","GT","-0.035","-0.035"
"MG","02 Jan 2019","13","IGS","-0.001","-0.001"
"MG","02 Jan 2019","13","ST","45.105","43.609"
"MG","02 Jan 2019","14","CCGT/COGEN/TRIGEN","2574.533","2387.367"
"MG","02 Jan 2019","14","GT","-0.034","-0.034"
