Date,Price,Open,High,Low,InterpolateSLinear_Price,InterpolateSLinear_Open,InterpolateSLinear_High,InterpolateSLinear_Low
2019-02-13,0.475,0.475,0.485,0.47,0.475,0.475,0.485,0.47
2019-02-14,0.48,0.475,0.495,0.475,0.48,0.475,0.495,0.475
2019-02-15,0.495,0.485,0.495,0.475,0.495,0.485,0.495,0.475
2019-02-16,,,,,0.48999999999999994,0.4883333333333333,0.5033333333333333,0.4766666666666666
2019-02-17,,,,,0.48499999999999993,0.4916666666666666,0.5116666666666667,0.4783333333333333
2019-02-18,0.48,0.495,0.52,0.48,0.48,0.495,0.52,0.48
2019-02-19,0.475,0.49,0.495,0.475,0.475,0.49,0.495,0.475
2019-02-20,0.48,0.485,0.49,0.475,0.48,0.485,0.49,0.475
2019-02-21,0.49,0.49,0.49,0.48,0.49,0.49,0.49,0.48
2019-02-22,0.495,0.49,0.495,0.48,0.495,0.49,0.495,0.48
2019-02-23,,,,,0.48999999999999994,0.49,0.49499999999999994,0.4783333333333333
2019-02-24,,,,,0.48499999999999993,0.49,0.49499999999999994,0.4766666666666666
2019-02-25,0.48,0.49,0.495,0.475,0.48,0.49,0.495,0.475
2019-02-26,0.46,0.49,0.495,0.46,0.46,0.49,0.495,0.46
2019-02-27,0.475,0.47,0.48,0.47,0.475,0.47,0.48,0.47
2019-02-28,0.47,0.475,0.48,0.47,0.47,0.475,0.48,0.47
2019-03-01,0.465,0.47,0.47,0.46,0.465,0.47,0.47,0.46
2019-03-02,,,,,0.4716666666666667,0.4716666666666666,0.4783333333333333,0.46333333333333326
2019-03-03,,,,,0.4783333333333333,0.4733333333333333,0.4866666666666666,0.4666666666666666
2019-03-04,0.485,0.475,0.495,0.47,0.485,0.475,0.495,0.47
2019-03-05,0.485,0.485,0.49,0.48,0.485,0.485,0.49,0.48
2019-03-06,0.51,0.485,0.515,0.48200000000000004,0.51,0.485,0.515,0.48200000000000004
2019-03-07,0.505,0.51,0.515,0.495,0.505,0.51,0.515,0.495
2019-03-08,0.495,0.5,0.51,0.495,0.495,0.5,0.51,0.495
2019-03-09,,,,,0.48999999999999994,0.4983333333333333,0.5049999999999999,0.4883333333333333
2019-03-10,,,,,0.48499999999999993,0.4966666666666666,0.49999999999999994,0.48166666666666663
2019-03-11,0.48,0.495,0.495,0.475,0.48,0.495,0.495,0.475
2019-03-12,0.48,0.49,0.49,0.48,0.48,0.49,0.49,0.48
2019-03-13,0.475,0.485,0.485,0.475,0.475,0.485,0.485,0.475
2019-03-14,0.485,0.485,0.485,0.475,0.485,0.485,0.485,0.475
2019-03-15,0.49,0.485,0.49,0.475,0.49,0.485,0.49,0.475
2019-03-16,,,,,0.49166666666666664,0.48666666666666664,0.4933333333333333,0.4783333333333333
2019-03-17,,,,,0.4933333333333333,0.4883333333333333,0.49666666666666665,0.48166666666666663
2019-03-18,0.495,0.49,0.5,0.485,0.495,0.49,0.5,0.485
2019-03-19,0.48,0.5,0.5,0.48,0.48,0.5,0.5,0.48
2019-03-20,0.475,0.48,0.485,0.47,0.475,0.48,0.485,0.47
2019-03-21,0.465,0.47,0.475,0.45,0.465,0.47,0.475,0.45
2019-03-22,0.465,0.46,0.475,0.46,0.465,0.46,0.475,0.46
2019-03-23,,,,,0.46499999999999997,0.45999999999999996,0.4783333333333333,0.45999999999999996
2019-03-24,,,,,0.46499999999999997,0.45999999999999996,0.48166666666666663,0.45999999999999996
2019-03-25,0.465,0.46,0.485,0.46,0.465,0.46,0.485,0.46
2019-03-26,0.455,0.465,0.465,0.455,0.455,0.465,0.465,0.455
2019-03-27,0.46,0.465,0.465,0.46,0.46,0.465,0.465,0.46
2019-03-28,0.465,0.46,0.47,0.455,0.465,0.46,0.47,0.455
2019-03-29,0.455,0.46,0.465,0.455,0.455,0.46,0.465,0.455
2019-03-30,,,,,0.45666666666666667,0.4583333333333333,0.4633333333333333,0.455
2019-03-31,,,,,0.4583333333333333,0.45666666666666667,0.46166666666666667,0.455
2019-04-01,0.46,0.455,0.46,0.455,0.46,0.455,0.46,0.455
2019-04-02,0.455,0.46,0.465,0.455,0.455,0.46,0.465,0.455
2019-04-03,0.45,0.46,0.46,0.445,0.45,0.46,0.46,0.445
2019-04-04,0.445,0.46,0.46,0.445,0.445,0.46,0.46,0.445
2019-04-05,0.44,0.45,0.455,0.44,0.44,0.45,0.455,0.44
2019-04-06,,,,,0.44166666666666665,0.4483333333333333,0.455,0.44166666666666665
2019-04-07,,,,,0.4433333333333333,0.44666666666666666,0.455,0.4433333333333333
2019-04-08,0.445,0.445,0.455,0.445,0.445,0.445,0.455,0.445
2019-04-09,0.445,0.45,0.45,0.44,0.445,0.45,0.45,0.44
2019-04-10,0.45,0.445,0.45,0.44,0.45,0.445,0.45,0.44
2019-04-11,0.445,0.445,0.45,0.445,0.445,0.445,0.45,0.445
2019-04-12,0.45,0.45,0.452,0.445,0.45,0.45,0.452,0.445
2019-04-13,,,,,0.4483333333333333,0.44999999999999996,0.453,0.44499999999999995
2019-04-14,,,,,0.44666666666666666,0.44999999999999996,0.454,0.44499999999999995
2019-04-15,0.445,0.45,0.455,0.445,0.445,0.45,0.455,0.445
2019-04-16,0.445,0.45,0.45,0.445,0.445,0.45,0.45,0.445
2019-04-17,0.44,0.445,0.45,0.44,0.44,0.445,0.45,0.44
2019-04-18,0.435,0.44,0.445,0.43,0.435,0.44,0.445,0.43
2019-04-19,,,,,0.43399999999999994,0.43899999999999995,0.44399999999999995,0.42899999999999994
2019-04-20,,,,,0.433,0.438,0.443,0.428
2019-04-21,,,,,0.432,0.437,0.442,0.427
2019-04-22,,,,,0.43099999999999994,0.43599999999999994,0.44099999999999995,0.42599999999999993
2019-04-23,0.43,0.435,0.44,0.425,0.43,0.435,0.44,0.425
2019-04-24,0.45,0.43,0.455,0.43,0.45,0.43,0.455,0.43
2019-04-25,,,,,0.455,0.4425,0.4625,0.44
2019-04-26,0.46,0.455,0.47,0.45,0.46,0.455,0.47,0.45
2019-04-27,,,,,0.4583333333333333,0.45666666666666667,0.4666666666666666,0.4483333333333333
2019-04-28,,,,,0.45666666666666667,0.4583333333333333,0.46333333333333326,0.44666666666666666
2019-04-29,0.455,0.46,0.46,0.445,0.455,0.46,0.46,0.445
2019-04-30,0.435,0.45,0.455,0.435,0.435,0.45,0.455,0.435
2019-05-01,0.435,0.435,0.45,0.435,0.435,0.435,0.45,0.435
2019-05-02,0.44,0.435,0.445,0.43,0.44,0.435,0.445,0.43
2019-05-03,0.44,0.44,0.45,0.43,0.44,0.44,0.45,0.43
2019-05-04,,,,,0.43333333333333335,0.43666666666666665,0.44499999999999995,0.42666666666666664
2019-05-05,,,,,0.42666666666666664,0.4333333333333333,0.43999999999999995,0.4233333333333333
2019-05-06,0.42,0.43,0.435,0.42,0.42,0.43,0.435,0.42
2019-05-07,0.415,0.425,0.43,0.41200000000000003,0.415,0.425,0.43,0.41200000000000003
2019-05-08,0.415,0.42,0.42,0.41,0.415,0.42,0.42,0.41
2019-05-09,0.41,0.415,0.42,0.41,0.41,0.415,0.42,0.41
2019-05-10,0.41,0.42,0.42,0.405,0.41,0.42,0.42,0.405
2019-05-11,,,,,0.41,0.41333333333333333,0.419,0.40166666666666667
2019-05-12,,,,,0.41,0.4066666666666666,0.41800000000000004,0.3983333333333333
2019-05-13,0.41,0.4,0.41700000000000004,0.395,0.41,0.4,0.41700000000000004,0.395
2019-05-14,0.385,0.4,0.4,0.375,0.385,0.4,0.4,0.375
2019-05-15,0.4,0.4,0.42200000000000004,0.395,0.4,0.4,0.42200000000000004,0.395
2019-05-16,0.395,0.41,0.415,0.395,0.395,0.41,0.415,0.395
2019-05-17,0.385,0.39,0.405,0.38,0.385,0.39,0.405,0.38
2019-05-18,,,,,0.385,0.39,0.405,0.37999999999999995
2019-05-19,,,,,0.385,0.39,0.405,0.37999999999999995
2019-05-20,0.385,0.39,0.405,0.38,0.385,0.39,0.405,0.38
2019-05-21,0.38,0.385,0.39,0.375,0.38,0.385,0.39,0.375
2019-05-22,0.375,0.385,0.39,0.365,0.375,0.385,0.39,0.365
2019-05-23,0.365,0.375,0.385,0.36,0.365,0.375,0.385,0.36
2019-05-24,0.35,0.365,0.37,0.34,0.35,0.365,0.37,0.34
2019-05-25,,,,,0.3466666666666667,0.3583333333333333,0.365,0.34
2019-05-26,,,,,0.3433333333333333,0.3516666666666666,0.36,0.34
2019-05-27,0.34,0.345,0.355,0.34,0.34,0.345,0.355,0.34
2019-05-28,0.33,0.335,0.345,0.33,0.33,0.335,0.345,0.33
2019-05-29,0.31,0.33,0.33,0.3,0.31,0.33,0.33,0.3
2019-05-30,0.285,0.305,0.305,0.285,0.285,0.305,0.305,0.285
2019-05-31,0.305,0.285,0.315,0.285,0.305,0.285,0.315,0.285
2019-06-01,,,,,0.29666666666666663,0.29333333333333333,0.31333333333333335,0.2833333333333333
2019-06-02,,,,,0.28833333333333333,0.30166666666666664,0.31166666666666665,0.2816666666666667
2019-06-03,0.28,0.31,0.31,0.28,0.28,0.31,0.31,0.28
2019-06-04,0.29,0.285,0.305,0.28,0.29,0.285,0.305,0.28
2019-06-05,0.275,0.295,0.3,0.272,0.275,0.295,0.3,0.272
2019-06-06,0.26,0.275,0.275,0.255,0.26,0.275,0.275,0.255
2019-06-07,0.26,0.26,0.27,0.26,0.26,0.26,0.27,0.26
2019-06-08,,,,,0.2625,0.26125,0.2725,0.26125
2019-06-09,,,,,0.265,0.2625,0.275,0.2625
2019-06-10,,,,,0.2675,0.26375000000000004,0.2775,0.26375000000000004
2019-06-11,0.27,0.265,0.28,0.265,0.27,0.265,0.28,0.265
2019-06-12,0.275,0.275,0.285,0.27,0.275,0.275,0.285,0.27
2019-06-13,0.27,0.275,0.28,0.267,0.27,0.275,0.28,0.267
2019-06-14,0.26,0.27,0.275,0.26,0.26,0.27,0.275,0.26
2019-06-15,,,,,0.2683333333333333,0.2683333333333333,0.28,0.26
2019-06-16,,,,,0.2766666666666666,0.26666666666666666,0.285,0.26
2019-06-17,0.285,0.265,0.29,0.26,0.285,0.265,0.29,0.26
2019-06-18,0.285,0.29,0.3,0.285,0.285,0.29,0.3,0.285
2019-06-19,0.275,0.3,0.305,0.275,0.275,0.3,0.305,0.275
2019-06-20,0.265,0.28,0.28,0.265,0.265,0.28,0.28,0.265
2019-06-21,0.26,0.27,0.275,0.26,0.26,0.27,0.275,0.26
